__time,/mavros/local_position/pose/header/stamp/nanosec,/mavros/local_position/pose/header/stamp/sec,/mavros/local_position/pose/pose/orientation/w,/mavros/local_position/pose/pose/orientation/x,/mavros/local_position/pose/pose/orientation/y,/mavros/local_position/pose/pose/orientation/z,/mavros/local_position/pose/pose/position/x,/mavros/local_position/pose/pose/position/y,/mavros/local_position/pose/pose/position/z,/state_vector/data[0],/state_vector/data[1],/state_vector/data[2],/state_vector/data[3],/state_vector/data[4],/state_vector/data[5],/state_vector/data[6],/state_vector/data[7],/state_vector/data[8],/state_vector/data[9],/state_vector/layout/data_offset
1709397268.923841,130090813.000000000,1709397153.000000000,-0.516271804,-0.005773917,0.025139079,0.856036327,0.699337959,-0.681963325,9.757888794,,,,,,,,,,,
1709397268.956148,160572772.000000000,1709397153.000000000,-0.513766806,-0.005446601,0.025357026,0.857537892,0.698073089,-0.697379053,9.763246536,,,,,,,,,,,
1709397268.996502,201845509.000000000,1709397153.000000000,-0.508367985,-0.004784679,0.025869545,0.860737997,0.696218371,-0.716356456,9.767513275,,,,,,,,,,,
1709397269.037841,239836883.000000000,1709397153.000000000,-0.504120478,-0.004327259,0.026197514,0.863225114,0.694085360,-0.731722653,9.767703056,,,,,,,,,,,
1709397269.068364,273282817.000000000,1709397153.000000000,-0.501879172,-0.004097754,0.026331270,0.864527220,0.691654980,-0.746950984,9.765555382,,,,,,,,,,,
1709397269.108791,314800906.000000000,1709397153.000000000,-0.497644025,-0.003710510,0.026414956,0.866971126,0.689049542,-0.761847198,9.762109756,,,,,,,,,,,
1709397269.144161,350162358.000000000,1709397153.000000000,-0.494163285,-0.003381178,0.026602951,0.868955400,0.686217308,-0.776333094,9.758872986,,,,,,,,,,,
1709397269.185861,390058677.000000000,1709397153.000000000,-0.492023743,-0.003194794,0.026747936,0.870165014,0.682570696,-0.794480503,9.756941795,,,,,,,,,,,
1709397269.228491,433302268.000000000,1709397153.000000000,-0.488261904,-0.002912921,0.026969260,0.872275539,0.679578364,-0.806809545,9.757197380,,,,,,,,,,,
1709397269.272506,478369279.000000000,1709397153.000000000,-0.485703233,-0.002693475,0.027123081,0.873698775,0.676251531,-0.818692982,9.758928299,,,,,,,,,,,
1709397269.305589,511161097.000000000,1709397153.000000000,-0.484618478,-0.002589678,0.027171650,0.874299768,0.672581136,-0.830030799,9.761586189,,,,,,,,,,,
1709397269.348393,554738632.000000000,1709397153.000000000,-0.483011587,-0.002421028,0.027183226,0.875188645,0.669550896,-0.843090415,9.764140129,,,,,,,,,,,
1709397269.387252,590281958.000000000,1709397153.000000000,-0.481722800,-0.002258277,0.027088268,0.875901959,0.666151941,-0.855557740,9.766512871,,,,,,,,,,,
1709397269.423061,628692169.000000000,1709397153.000000000,-0.481290500,-0.002157194,0.027017571,0.876142070,0.661442637,-0.870386004,9.768321991,,,,,,,,,,,
1709397269.434079,,,,,,,,,,0.394170456,-0.133479878,0.030745332,0.066765097,0.742464701,-0.341281325,-0.067340211,0.032431850,0.661442637,-0.870386004,0.000000000
1709397269.467934,672543311.000000000,1709397153.000000000,-0.480825999,-0.001929434,0.026870609,0.876402074,0.657472372,-0.879379332,9.766433716,,,,,,,,,,,
1709397269.467984,,,,,,,,,,0.389931809,-0.133479878,0.030745332,0.064056775,0.754849412,-0.341281325,-0.067340211,0.030765649,0.661442637,-0.870386004,0.000000000
1709397269.497847,702662553.000000000,1709397153.000000000,-0.480892802,-0.001687231,0.026777850,0.876368736,0.653313637,-0.885875821,9.761679649,,,,,,,,,,,
1709397269.501232,,,,,,,,,,0.377531752,-0.149614006,0.032501128,0.061246680,0.751733167,-0.310786754,-0.072279315,0.029088672,0.653313637,-0.885875821,0.000000000
1709397269.534117,,,,,,,,,,0.373228317,-0.149614006,0.032501128,0.061246680,0.764095515,-0.310786754,-0.072279315,0.029088672,0.653313637,-0.885875821,0.000000000
1709397269.542153,746783255.000000000,1709397153.000000000,-0.481128340,-0.001540974,0.026740085,0.876240925,0.648818493,-0.892216146,9.756690025,,,,,,,,,,,
1709397269.567257,,,,,,,,,,0.364397388,-0.158455104,0.032930916,0.057532285,0.770106230,-0.293647021,-0.074556370,0.026872407,0.648818493,-0.892216146,0.000000000
1709397269.582376,786668504.000000000,1709397153.000000000,-0.482087728,-0.001216757,0.026624353,0.875717504,0.643944979,-0.898268342,9.753466606,,,,,,,,,,,
1709397269.600843,,,,,,,,,,0.355155769,-0.168821439,0.033667644,0.053727744,0.776393679,-0.273672372,-0.076570289,0.024608328,0.643944979,-0.898268342,0.000000000
1709397269.626115,831555633.000000000,1709397153.000000000,-0.483563290,-0.000954301,0.026482044,0.874908200,0.637166560,-0.903249502,9.752856255,,,,,,,,,,,
1709397269.633279,,,,,,,,,,0.343976955,-0.179072306,0.034531884,0.049873399,0.783740687,-0.254227847,-0.078648099,0.022300805,0.637166560,-0.903249502,0.000000000
1709397269.662769,867076738.000000000,1709397153.000000000,-0.484483081,-0.000888262,0.026420304,0.874401194,0.628686428,-0.907210588,9.755232811,,,,,,,,,,,
1709397269.666332,,,,,,,,,,0.331064169,-0.190241441,0.034527418,0.045899580,0.792096206,-0.233816519,-0.080540776,0.020001412,0.628686428,-0.907210588,0.000000000
1709397269.696338,899274014.000000000,1709397153.000000000,-0.486576768,-0.000695166,0.026195861,0.873244769,0.617939413,-0.911807120,9.760843277,,,,,,,,,,,
1709397269.697403,,,,,,,,,,0.315852269,-0.202685148,0.034784338,0.041805822,0.799804634,-0.210853770,-0.081835601,0.017687213,0.617939413,-0.911807120,0.000000000
1709397269.728489,934776843.000000000,1709397153.000000000,-0.489863653,-0.000283646,0.025713310,0.871419789,0.609246790,-0.915239155,9.765971184,,,,,,,,,,,
1709397269.730678,,,,,,,,,,0.302662563,-0.211007729,0.035287139,0.038613321,0.808665826,-0.195029676,-0.083382817,0.015899384,0.609246790,-0.915239155,0.000000000
1709397269.760321,966071022.000000000,1709397153.000000000,-0.491605814,-0.000064053,0.025423988,0.870446724,0.600829840,-0.920652330,9.768096924,,,,,,,,,,,
1709397269.765598,,,,,,,,,,0.289716361,-0.217512935,0.034946924,0.035833187,0.815534063,-0.182475016,-0.084410386,0.014363363,0.600829840,-0.920652330,0.000000000
1709397269.797247,,,,,,,,,,0.285154972,-0.217512935,0.034946924,0.033167928,0.827803575,-0.182475016,-0.084410386,0.012929250,0.600829840,-0.920652330,0.000000000
1709397269.802901,3622361.000000000,1709397154.000000000,-0.495503471,0.000395391,0.024710385,0.868254329,0.592367351,-0.925748169,9.768568993,,,,,,,,,,,
1709397269.829947,,,,,,,,,,0.272098989,-0.223370731,0.034987997,0.029763672,0.834965265,-0.170781106,-0.085838986,0.011096303,0.592367351,-0.925748169,0.000000000
1709397269.835148,40778894.000000000,1709397154.000000000,-0.499931419,0.000908822,0.023923443,0.865734116,0.583857238,-0.930530787,9.767441750,,,,,,,,,,,
1709397269.862736,,,,,,,,,,0.258963307,-0.229334012,0.035637551,0.026411433,0.842428108,-0.158338994,-0.087061629,0.009318593,0.583857238,-0.930530787,0.000000000
1709397269.868691,74640808.000000000,1709397154.000000000,-0.502362533,0.001177802,0.023550118,0.864335515,0.575275242,-0.934953272,9.765853882,,,,,,,,,,,
1709397269.896578,,,,,,,,,,0.245723700,-0.235630378,0.035115740,0.022936731,0.850238932,-0.144660726,-0.087917839,0.007501465,0.575275242,-0.934953272,0.000000000
1709397269.903386,109414967.000000000,1709397154.000000000,-0.507061296,0.001646556,0.022924569,0.861603578,0.565589786,-0.940761447,9.767943382,,,,,,,,,,,
1709397269.928810,,,,,,,,,,0.231348621,-0.242154300,0.034837069,0.022936731,0.856651831,-0.131677255,-0.089062522,0.007501465,0.565589786,-0.940761447,0.000000000
1709397269.962573,,,,,,,,,,0.226627020,-0.242154300,0.034837069,0.019313825,0.868860585,-0.131677255,-0.089062522,0.005688887,0.565589786,-0.940761447,0.000000000
1709397269.969667,171296126.000000000,1709397154.000000000,-0.512885547,0.002193324,0.022277310,0.858165090,0.555898190,-0.946028769,9.770196915,,,,,,,,,,,
1709397269.995806,200710057.000000000,1709397154.000000000,-0.516066992,0.002551209,0.021945429,0.856263308,0.543129742,-0.951995254,9.773325920,,,,,,,,,,,
1709397269.996038,,,,,,,,,,0.212181877,-0.248577416,0.035140485,0.015424795,0.875789615,-0.118293419,-0.089887637,0.003774867,0.555898190,-0.946028769,0.000000000
1709397270.028629,,,,,,,,,,0.194627969,-0.256105632,0.034532675,0.012084183,0.882006995,-0.100452952,-0.090381049,0.002111197,0.543129742,-0.951995254,0.000000000
1709397270.030111,235051211.000000000,1709397154.000000000,-0.525801175,0.003627979,0.020963754,0.850341392,0.532976270,-0.955781877,9.776258469,,,,,,,,,,,
1709397270.061464,,,,,,,,,,0.179657155,-0.260926723,0.035884376,0.012084183,0.890391667,-0.088331841,-0.090850602,0.002111197,0.532976270,-0.955781877,0.000000000
1709397270.079415,285581171.000000000,1709397154.000000000,-0.531721164,0.004095522,0.020552390,0.846660244,0.521769285,-0.958281815,9.780005455,,,,,,,,,,,
1709397270.095450,,,,,,,,,,0.163600981,-0.265293449,0.035431236,0.008943455,0.900050370,-0.077024654,-0.091293707,0.000576417,0.521769285,-0.958281815,0.000000000
1709397270.122128,327097427.000000000,1709397154.000000000,-0.535510471,0.004336076,0.020340524,0.844272572,0.510113001,-0.960352659,9.782887459,,,,,,,,,,,
1709397270.127581,,,,,,,,,,0.147063692,-0.269402087,0.033890087,0.005981495,0.910125431,-0.066290356,-0.091602095,-0.000819529,0.510113001,-0.960352659,0.000000000
1709397270.161035,,,,,,,,,,0.142150907,-0.269402087,0.033890087,0.002790733,0.922258515,-0.066290356,-0.091602095,-0.002255851,0.510113001,-0.960352659,0.000000000
1709397270.167123,372593327.000000000,1709397154.000000000,-0.543353494,0.004778909,0.019819041,0.839256423,0.496311843,-0.962644458,9.783449173,,,,,,,,,,,
1709397270.193343,,,,,,,,,,0.123405217,-0.273851186,0.034062791,-0.000051720,0.932086898,-0.053563271,-0.091496048,-0.003455907,0.496311843,-0.962644458,0.000000000
1709397270.198597,403965931.000000000,1709397154.000000000,-0.551687675,0.005428186,0.019090050,0.833814611,0.484944671,-0.964611769,9.781837463,,,,,,,,,,,
