__time,/mavros/local_position/pose/header/stamp/nanosec,/mavros/local_position/pose/header/stamp/sec,/mavros/local_position/pose/pose/orientation/w,/mavros/local_position/pose/pose/orientation/x,/mavros/local_position/pose/pose/orientation/y,/mavros/local_position/pose/pose/orientation/z,/mavros/local_position/pose/pose/position/x,/mavros/local_position/pose/pose/position/y,/mavros/local_position/pose/pose/position/z,/state_vector/data[0],/state_vector/data[1],/state_vector/data[2],/state_vector/data[3],/state_vector/data[4],/state_vector/data[5],/state_vector/data[6],/state_vector/data[7],/state_vector/data[8],/state_vector/data[9],/state_vector/layout/data_offset
1709381190.421711,,,,,,,,,,-1.126785396,-0.067806959,0.111991607,0.095227255,-0.666243567,-0.167582050,0.053959194,0.071293455,-0.315380365,0.145161465,0.000000000
1709381190.421726,,,,,,,,,,-1.132088697,-0.067806959,0.111991607,0.098545671,-0.671546867,-0.167582050,0.053959194,0.067869028,-0.315380365,0.145161465,0.000000000
1709381190.421731,,,,,,,,,,-1.137050016,-0.076969288,0.114547749,0.101456600,-0.681403471,-0.179208159,0.049334226,0.064555409,-0.315038383,0.140608162,0.000000000
1709381190.421739,,,,,,,,,,-1.142353317,-0.076969288,0.114547749,0.101456600,-0.686706772,-0.179208159,0.049334226,0.064555409,-0.315038383,0.140608162,0.000000000
1709381190.427433,,,,,,,,,,-1.148620038,-0.085868672,0.117105634,0.104215426,-0.696155651,-0.188661620,0.042201376,0.061082720,-0.316001803,0.136462584,0.000000000
1709381190.445229,,,,,,,,,,-1.153923338,-0.085868672,0.117105634,0.104215426,-0.701458952,-0.188661620,0.042201376,0.061082720,-0.316001803,0.136462584,0.000000000
1709381190.463475,,,,,,,,,,-1.160642339,-0.094795704,0.119939801,0.107096977,-0.711372955,-0.196969122,0.037100353,0.057095825,-0.317417502,0.131851882,0.000000000
1709381190.483820,,,,,,,,,,-1.165945640,-0.094795704,0.119939801,0.107096977,-0.716676256,-0.196969122,0.037100353,0.057095825,-0.317417502,0.131851882,0.000000000
1709381190.504668,,,,,,,,,,-1.173104552,-0.103977039,0.121659071,0.109386034,-0.726998774,-0.204283848,0.034116590,0.053581335,-0.319273114,0.126832664,0.000000000
1709381190.525866,,,,,,,,,,-1.180534636,-0.103977039,0.121659071,0.109386034,-0.737906998,-0.204283848,0.034116590,0.053581335,-0.321399897,0.121227741,0.000000000
1709381190.544445,,,,,,,,,,-1.185837937,-0.113177516,0.124391939,0.111380907,-0.743210299,-0.210514411,0.027237325,0.049945650,-0.321399897,0.121227741,0.000000000
1709381190.565179,,,,,,,,,,-1.191141238,-0.113177516,0.124391939,0.111380907,-0.748513600,-0.210514411,0.027237325,0.049945650,-0.321399897,0.121227741,0.000000000
